column,median_value,remaining_missing
map_mean,80.7,0
map_min,61.0,0
map_below65_hours,1.0,0
sbp_min,95.0,0
sbp_mean,119.20833333333331,0
shock_index_mean,0.6870470888002445,0
hr_max,103.0,0
hr_mean,82.36,0
rr_max,28.0,0
rr_mean,18.37037037037037,0
temp_max,99.0,0
temp_mean,98.33333333333331,0
urine_output_sum,2840.0,0
urine_output_6h,0.0,0
urine_ml_kg_hr,0.8452380952380952,0
oliguria_flag,0.0,0
creatinine_min,0.7,0
creatinine_max,0.8,0
creatinine_delta,0.0999999999999999,0
bun_max,15.0,0
bun_cr_ratio,18.88888888888889,0
lactate_max,1.8,0
lactate_mean,1.5499999999999998,0
vasopressor_flag,0.0,0
vasopressor_hours,0.0,0
norepi_dose_max,0.0999834373942576,0
potassium_max,4.2,0
potassium_mean,4.0,0
bicarbonate_min,23.0,0
bicarbonate_mean,24.5,0
sodium_min,138.0,0
sodium_max,140.0,0
hemoglobin_min,10.4,0
hemoglobin_mean,10.85,0
spo2_min,92.0,0
spo2_mean,96.64,0
