trial,s23r,macro,score
0,0.8021978021978022,0.4744396272309348,0.6710945322110553
1,0.8186813186813187,0.4714074669264885,0.6797717779793866
2,0.8214285714285714,0.47041931332778975,0.6810248681882587
3,0.8214285714285714,0.46703199491973624,0.6796699408250373
4,0.8159340659340659,0.4729510762233714,0.6787408700497881
5,0.8159340659340659,0.46845474434810797,0.6769423372996828
6,0.8104395604395604,0.4721009145839403,0.6751041020973124
7,0.8186813186813187,0.47084485686440025,0.6795467339545513
8,0.8241758241758241,0.46659705457969236,0.6811443163373714
9,0.8159340659340659,0.4768714650105357,0.6803090255646538
10,0.8269230769230769,0.4655911038191596,0.68239028768151
11,0.8296703296703297,0.4668529902328098,0.6845433938953217
12,0.8269230769230769,0.46445516326698877,0.6819359114606416
13,0.8241758241758241,0.4716832290477711,0.6831787861246029
14,0.8269230769230769,0.47012347161369394,0.6842032347993237
15,0.8214285714285714,0.4692913136932608,0.6805736683344472
16,0.8241758241758241,0.47055490580351494,0.6827274568269004
17,0.8241758241758241,0.46942548350398183,0.6822756879070873
18,0.8241758241758241,0.46999033265236545,0.6825016275664406
19,0.8241758241758241,0.4643292174055095,0.6802371814676983
20,0.8186813186813187,0.47589874973081847,0.6815682911011186
21,0.8269230769230769,0.4718184979137692,0.6848812453193538
22,0.8296703296703297,0.4708208669937666,0.6861305445997045
23,0.8269230769230769,0.46785954675820196,0.683297664857127
24,0.8241758241758241,0.47281046309737285,0.6836296797444437
25,0.8241758241758241,0.4682949522777463,0.681823475416593
26,0.8241758241758241,0.46942548350398183,0.6822756879070873
27,0.8241758241758241,0.47111920419101405,0.6829531761819001
28,0.8186813186813187,0.4663341281449003,0.6777424424667513
29,0.8104395604395604,0.4748968171063155,0.6762224631062624
30,0.8241758241758241,0.4716832290477711,0.6831787861246029
31,0.8269230769230769,0.4695579096357565,0.6839770100081487
32,0.8269230769230769,0.46331806340798704,0.681481071517041
33,0.8241758241758241,0.4637615402824903,0.6800101106184906
34,0.8186813186813187,0.4663341281449003,0.6777424424667513
35,0.8214285714285714,0.4743587664232104,0.682600649426427
36,0.8104395604395604,0.46817557859618275,0.6735339677022094
37,0.8214285714285714,0.4721092658085713,0.6817008491805714
38,0.8214285714285714,0.46533456240118276,0.6789909678176159
39,0.8076923076923077,0.47307149986533376,0.6738439845615181
40,0.8241758241758241,0.46659705457969236,0.6811443163373714
41,0.8269230769230769,0.47012347161369394,0.6842032347993237
42,0.8269230769230769,0.4650232778347668,0.6821631572877529
43,0.8269230769230769,0.47012347161369394,0.6842032347993237
44,0.8269230769230769,0.468992068992069,0.6837506737506738
45,0.8186813186813187,0.4663341281449003,0.6777424424667513
46,0.8186813186813187,0.47253187988482104,0.6802215431627197
47,0.8269230769230769,0.4684259484455001,0.6835242255320462
48,0.8241758241758241,0.4648966061562747,0.6804641369680043
49,0.8159340659340659,0.4678914818878269,0.6767170323155703
