feature,importance
shock_index_mean,0.34678984
temp_mean,0.15629002
rr_mean,0.0682443
sbp_mean,0.052476272
hr_mean,0.042590804
vasopressor_hours,0.024760526
hr_max,0.021487452
bun_max,0.017851496
norepi_dose_max,0.016765716
spo2_mean,0.01639949
spo2_min,0.016012257
temp_max,0.015640233
lactate_max,0.013802057
rr_max,0.013447044
map_mean,0.013203091
bun_cr_ratio,0.012962152
sodium_min,0.01255723
lactate_mean,0.012335454
vasopressor_flag,0.012295881
sbp_min,0.012186495
map_min,0.012042952
bicarbonate_mean,0.011637744
hemoglobin_min,0.011523098
bicarbonate_min,0.011520835
sodium_max,0.011435292
map_below65_hours,0.011393779
potassium_mean,0.011008835
potassium_max,0.010791667
hemoglobin_mean,0.010547954
