variable,test,p_value,AKI_median,NonAKI_median,fdr_p,significant,cohens_d,abs_cohens_d,effect_size_category
urine_ml_kg_hr,Mann-Whitney U,0.0,0.0788690476190476,0.9002976190476191,0.0,True,-0.7877923315690513,0.7877923315690513,Medium
urine_output_sum,Mann-Whitney U,0.0,265.0,3025.0,0.0,True,-0.7877923315690517,0.7877923315690517,Medium
urine_output_6h,Mann-Whitney U,0.0,0.0,0.0,0.0,True,2.004619760404562,2.004619760404562,Large
oliguria_flag,Chi-square,0.0,,,0.0,True,,,
aki_stage,Chi-square,0.0,,,0.0,True,,,
age,Mann-Whitney U,1.9653244283932318e-116,66.0,61.0,1.2774608784556006e-115,True,0.26477231094830633,0.26477231094830633,Small
bun_max,Mann-Whitney U,2.3043322801341925e-59,17.0,15.0,1.2838422703604787e-58,True,0.2749560734931314,0.2749560734931314,Small
temp_mean,Mann-Whitney U,5.489052917337248e-45,98.55833333333334,98.33333333333331,2.6759132972019084e-44,True,0.41371863461169806,0.41371863461169806,Small
rr_mean,Mann-Whitney U,8.542365264866917e-40,19.479166666666668,18.404761904761905,3.7016916147756635e-39,True,0.36997611756486093,0.36997611756486093,Small
creatinine_min,Mann-Whitney U,1.0261384116864311e-33,0.7,0.7,4.0019398055770816e-33,True,0.21193023531969168,0.21193023531969168,Small
bicarbonate_min,Mann-Whitney U,2.893412266085776e-32,24.0,23.0,1.0258461670667752e-31,True,0.22029314890533175,0.22029314890533175,Small
hr_mean,Mann-Whitney U,5.690352730716278e-30,86.53868471953578,82.22916666666667,1.8493646374827903e-29,True,0.300098283217182,0.300098283217182,Small
bun_cr_ratio,Mann-Whitney U,3.32075219735896e-29,21.11111111111111,20.0,9.96225659207688e-29,True,0.20653944829271453,0.20653944829271453,Small
shock_index_mean,Mann-Whitney U,6.507660744619318e-26,0.731960826264899,0.6881541932627911,1.8128483502868099e-25,True,0.33097542145340114,0.33097542145340114,Small
temp_max,Mann-Whitney U,1.74104805753308e-23,99.4,99.0,4.526724949586008e-23,True,0.3413528325298106,0.3413528325298106,Small
creatinine_delta,Mann-Whitney U,6.694606821726849e-22,0.0999999999999999,0.0999999999999999,1.6318104127959195e-21,True,-0.11404928270086122,0.11404928270086122,Very Small
bicarbonate_mean,Mann-Whitney U,8.847556315258394e-22,25.0,24.5,2.029733507618102e-21,True,0.18626344713049683,0.18626344713049683,Very Small
creatinine_max,Mann-Whitney U,2.471673727523042e-20,0.8,0.8,5.3552930762999236e-20,True,0.1459202656902746,0.1459202656902746,Very Small
gender,Chi-square,7.583496988871814e-20,,,1.5566125398210566e-19,True,,,
spo2_mean,Mann-Whitney U,2.2314681640991186e-14,97.0,96.6,4.351362919993282e-14,True,0.13519751960527132,0.13519751960527132,Very Small
norepi_dose_max,Mann-Whitney U,1.2598493581994905e-13,0.14998968981672073,0.1000055272015743,2.3397202366561966e-13,True,0.038258836940523115,0.038258836940523115,Very Small
hemoglobin_min,Mann-Whitney U,2.4523832221770613e-13,10.7,10.4,4.3474066211320633e-13,True,0.15404585776664448,0.15404585776664448,Very Small
hr_max,Mann-Whitney U,1.7695574160173752e-10,107.0,103.0,3.00055387933381e-10,True,0.15871082410116305,0.15871082410116305,Very Small
spo2_min,Mann-Whitney U,1.4908050581296562e-09,92.0,92.0,2.4225582194606914e-09,True,0.08926969037774903,0.08926969037774903,Very Small
sodium_min,Mann-Whitney U,1.8875681551948776e-09,138.0,137.0,2.9446063221040087e-09,True,0.07974946820454737,0.07974946820454737,Very Small
hemoglobin_mean,Mann-Whitney U,9.538616581938771e-06,11.0,10.85,1.4307924872908157e-05,True,0.09979049795984546,0.09979049795984546,Very Small
map_mean,Mann-Whitney U,0.0006002089242561557,79.94999999999999,80.8913043478261,0.0008669684461477806,True,-0.05162785286727505,0.05162785286727505,Very Small
potassium_mean,Mann-Whitney U,0.003081742659876291,4.0,4.0,0.004292427276256262,True,0.07090640532645674,0.07090640532645674,Very Small
sbp_mean,Mann-Whitney U,0.010324906787243557,118.45454545454545,119.33333333333331,0.013885219472499955,True,-0.02898036365744163,0.02898036365744163,Very Small
vasopressor_hours,Mann-Whitney U,0.014076121279065644,0.0,0.0,0.018298957662785338,True,0.2912282521693622,0.2912282521693622,Small
rr_max,Mann-Whitney U,0.03469447587343831,28.0,28.0,0.04364788900206756,True,0.05772815861290713,0.05772815861290713,Very Small
